Store,Date,Type,y_true,SPLH,IPLH,Hours_Actual_Variable,Hours_Actual_Baseline,Hours_Actual
5,2012-09-14,B,299800.67,180.0,45.0,1665.5592777777777,56.0,1721.5592777777777
5,2012-09-21,B,307306.76,180.0,45.0,1707.2597777777778,56.0,1763.2597777777778
5,2012-09-28,B,310141.68,180.0,45.0,1723.0093333333332,56.0,1779.0093333333332
5,2012-10-05,B,343048.29,180.0,45.0,1905.8238333333331,56.0,1961.8238333333331
5,2012-10-12,B,325345.41,180.0,45.0,1807.4744999999998,56.0,1863.4744999999998
5,2012-10-19,B,313358.15,180.0,45.0,1740.8786111111112,56.0,1796.8786111111112
5,2012-10-26,B,319550.77,180.0,45.0,1775.2820555555556,56.0,1831.2820555555556
6,2012-09-07,A,1608077.01,200.0,50.0,8040.38505,56.0,8096.38505
6,2012-09-14,A,1375166.86,200.0,50.0,6875.8343,56.0,6931.8343
6,2012-09-21,A,1425603.65,200.0,50.0,7128.018249999999,56.0,7184.018249999999
6,2012-09-28,A,1369131.46,200.0,50.0,6845.6573,56.0,6901.6573
6,2012-10-05,A,1518177.71,200.0,50.0,7590.88855,56.0,7646.88855
6,2012-10-12,A,1459396.84,200.0,50.0,7296.984200000001,56.0,7352.984200000001
6,2012-10-19,A,1436883.99,200.0,50.0,7184.4199499999995,56.0,7240.4199499999995
6,2012-10-26,A,1431426.34,200.0,50.0,7157.131700000001,56.0,7213.131700000001
7,2012-09-07,B,597876.5499999999,180.0,45.0,3321.5363888888887,56.0,3377.5363888888887
7,2012-09-14,B,541120.2,180.0,45.0,3006.223333333333,56.0,3062.223333333333
7,2012-09-21,B,530842.25,180.0,45.0,2949.123611111111,56.0,3005.123611111111
7,2012-09-28,B,525545.76,180.0,45.0,2919.6986666666667,56.0,2975.6986666666667
7,2012-10-05,B,505830.56,180.0,45.0,2810.1697777777777,56.0,2866.1697777777777
7,2012-10-12,B,503463.93,180.0,45.0,2797.0218333333332,56.0,2853.0218333333332
7,2012-10-19,B,516424.83,180.0,45.0,2869.0268333333333,56.0,2925.0268333333333
7,2012-10-26,B,495543.28,180.0,45.0,2753.0182222222224,56.0,2809.0182222222224
8,2012-09-07,A,932160.37,200.0,50.0,4660.80185,56.0,4716.80185
8,2012-09-14,A,883569.38,200.0,50.0,4417.8469000000005,56.0,4473.8469000000005
8,2012-09-21,A,857796.45,200.0,50.0,4288.98225,56.0,4344.98225
8,2012-09-28,A,884724.41,200.0,50.0,4423.62205,56.0,4479.62205
8,2012-10-05,A,976436.02,200.0,50.0,4882.1801000000005,56.0,4938.1801000000005
8,2012-10-12,A,927511.99,200.0,50.0,4637.55995,56.0,4693.55995
8,2012-10-19,A,900309.75,200.0,50.0,4501.54875,56.0,4557.54875
8,2012-10-26,A,891671.4400000001,200.0,50.0,4458.3572,56.0,4514.3572
9,2012-09-07,B,565812.29,180.0,45.0,3143.4016111111114,56.0,3199.4016111111114
9,2012-09-14,B,523427.35,180.0,45.0,2907.929722222222,56.0,2963.929722222222
9,2012-09-21,B,533756.88,180.0,45.0,2965.316,56.0,3021.316
9,2012-09-28,B,516361.06,180.0,45.0,2868.6725555555554,56.0,2924.6725555555554
9,2012-10-05,B,606755.3,180.0,45.0,3370.862777777778,56.0,3426.862777777778
9,2012-10-12,B,558464.8,180.0,45.0,3102.5822222222223,56.0,3158.5822222222223
9,2012-10-19,B,542009.46,180.0,45.0,3011.1636666666664,56.0,3067.1636666666664
9,2012-10-26,B,549731.49,180.0,45.0,3054.063833333333,56.0,3110.063833333333
10,2012-09-07,B,1708283.28,180.0,45.0,9490.462666666666,56.0,9546.462666666666
10,2012-09-14,B,1640168.99,180.0,45.0,9112.049944444445,56.0,9168.049944444445
10,2012-09-21,B,1671857.57,180.0,45.0,9288.097611111112,56.0,9344.097611111112
10,2012-09-28,B,1694862.41,180.0,45.0,9415.902277777777,56.0,9471.902277777777
10,2012-10-05,B,1758971.38,180.0,45.0,9772.063222222221,56.0,9828.063222222221
10,2012-10-12,B,1713889.11,180.0,45.0,9521.606166666666,56.0,9577.606166666666
10,2012-10-19,B,1734834.82,180.0,45.0,9637.971222222222,56.0,9693.971222222222
10,2012-10-26,B,1744349.05,180.0,45.0,9690.828055555556,56.0,9746.828055555556
11,2012-09-07,A,1304584.4,200.0,50.0,6522.922,56.0,6578.922
11,2012-09-14,A,1267675.05,200.0,50.0,6338.37525,56.0,6394.37525
11,2012-09-21,A,1326132.98,200.0,50.0,6630.6649,56.0,6686.6649
11,2012-09-28,A,1227430.73,200.0,50.0,6137.15365,56.0,6193.15365
11,2012-10-05,A,1422794.26,200.0,50.0,7113.9713,56.0,7169.9713
11,2012-10-12,A,1311965.09,200.0,50.0,6559.82545,56.0,6615.82545
11,2012-10-19,A,1232073.18,200.0,50.0,6160.3659,56.0,6216.3659
11,2012-10-26,A,1200729.45,200.0,50.0,6003.64725,56.0,6059.64725
12,2012-09-07,B,955146.04,180.0,45.0,5306.366888888889,56.0,5362.366888888889
12,2012-09-14,B,885892.37,180.0,45.0,4921.624277777778,56.0,4977.624277777778
12,2012-09-21,B,922735.37,180.0,45.0,5126.307611111111,56.0,5182.307611111111
12,2012-09-28,B,880415.67,180.0,45.0,4891.198166666667,56.0,4947.198166666667
12,2012-10-05,B,979825.92,180.0,45.0,5443.477333333333,56.0,5499.477333333333
12,2012-10-12,B,934917.47,180.0,45.0,5193.985944444445,56.0,5249.985944444445
12,2012-10-19,B,960945.43,180.0,45.0,5338.585722222222,56.0,5394.585722222222
12,2012-10-26,B,974697.6,180.0,45.0,5414.986666666667,56.0,5470.986666666667
13,2012-09-07,A,2165796.31,200.0,50.0,10828.98155,56.0,10884.98155
13,2012-09-14,A,1919917.03,200.0,50.0,9599.58515,56.0,9655.58515
13,2012-09-21,A,1938379.66,200.0,50.0,9691.898299999999,56.0,9747.898299999999
13,2012-09-28,A,1927664.11,200.0,50.0,9638.32055,56.0,9694.32055
13,2012-10-05,A,2041918.74,200.0,50.0,10209.5937,56.0,10265.5937
13,2012-10-12,A,1999079.44,200.0,50.0,9995.3972,56.0,10051.3972
13,2012-10-19,A,2018010.15,200.0,50.0,10090.05075,56.0,10146.05075
13,2012-10-26,A,2035189.66,200.0,50.0,10175.9483,56.0,10231.9483
14,2012-09-07,A,1904512.34,200.0,50.0,9522.5617,56.0,9578.5617
14,2012-09-14,A,1554794.22,200.0,50.0,7773.9711,56.0,7829.9711
14,2012-09-21,A,1565352.46,200.0,50.0,7826.762299999999,56.0,7882.762299999999
14,2012-09-28,A,1522512.2,200.0,50.0,7612.561,56.0,7668.561
14,2012-10-05,A,1687592.16,200.0,50.0,8437.960799999999,56.0,8493.960799999999
14,2012-10-12,A,1639585.61,200.0,50.0,8197.92805,56.0,8253.92805
14,2012-10-19,A,1590274.72,200.0,50.0,7951.3736,56.0,8007.3736
14,2012-10-26,A,1704357.62,200.0,50.0,8521.7881,56.0,8577.7881
15,2012-09-07,B,587259.8200000001,180.0,45.0,3262.554555555556,56.0,3318.554555555556
15,2012-09-14,B,527509.76,180.0,45.0,2930.6097777777777,56.0,2986.6097777777777
15,2012-09-21,B,533161.64,180.0,45.0,2962.009111111111,56.0,3018.009111111111
15,2012-09-28,B,553901.97,180.0,45.0,3077.2331666666664,56.0,3133.2331666666664
15,2012-10-05,B,573498.64,180.0,45.0,3186.1035555555554,56.0,3242.1035555555554
15,2012-10-12,B,551799.63,180.0,45.0,3065.5535,56.0,3121.5535
15,2012-10-19,B,555652.77,180.0,45.0,3086.9598333333333,56.0,3142.9598333333333
15,2012-10-26,B,558473.6,180.0,45.0,3102.631111111111,56.0,3158.631111111111
16,2012-09-07,B,537138.58,180.0,45.0,2984.103222222222,56.0,3040.103222222222
16,2012-09-14,B,526525.16,180.0,45.0,2925.139777777778,56.0,2981.139777777778
16,2012-09-21,B,509942.56,180.0,45.0,2833.014222222222,56.0,2889.014222222222
16,2012-09-28,B,469607.73,180.0,45.0,2608.931833333333,56.0,2664.931833333333
16,2012-10-05,B,471281.68,180.0,45.0,2618.2315555555556,56.0,2674.2315555555556
16,2012-10-12,B,491817.19,180.0,45.0,2732.317722222222,56.0,2788.317722222222
16,2012-10-19,B,577198.97,180.0,45.0,3206.6609444444443,56.0,3262.6609444444443
16,2012-10-26,B,475770.14,180.0,45.0,2643.1674444444443,56.0,2699.1674444444443
17,2012-09-07,B,1255633.29,180.0,45.0,6975.7405,56.0,7031.7405
17,2012-09-14,B,1071040.22,180.0,45.0,5950.223444444444,56.0,6006.223444444444
17,2012-09-21,B,938303.28,180.0,45.0,5212.796,56.0,5268.796
17,2012-09-28,B,972716.24,180.0,45.0,5403.979111111111,56.0,5459.979111111111
17,2012-10-05,B,952609.17,180.0,45.0,5292.273166666667,56.0,5348.273166666667
17,2012-10-12,B,919878.34,180.0,45.0,5110.435222222222,56.0,5166.435222222222
17,2012-10-19,B,957356.84,180.0,45.0,5318.649111111111,56.0,5374.649111111111
17,2012-10-26,B,943465.29,180.0,45.0,5241.4738333333335,56.0,5297.4738333333335
18,2012-09-07,B,1083521.24,180.0,45.0,6019.562444444445,56.0,6075.562444444445
18,2012-09-14,B,960476.1,180.0,45.0,5335.9783333333335,56.0,5391.9783333333335
18,2012-09-21,B,971386.65,180.0,45.0,5396.5925,56.0,5452.5925
18,2012-09-28,B,1002856.2,180.0,45.0,5571.423333333333,56.0,5627.423333333333
18,2012-10-05,B,1092204.79,180.0,45.0,6067.804388888889,56.0,6123.804388888889
18,2012-10-12,B,1074079.0,180.0,45.0,5967.105555555556,56.0,6023.105555555556
18,2012-10-19,B,1048706.75,180.0,45.0,5826.148611111111,56.0,5882.148611111111
18,2012-10-26,B,1127516.25,180.0,45.0,6263.979166666667,56.0,6319.979166666667
19,2012-09-07,A,1497073.82,200.0,50.0,7485.3691,56.0,7541.3691
19,2012-09-14,A,1370653.41,200.0,50.0,6853.2670499999995,56.0,6909.2670499999995
19,2012-09-21,A,1338572.29,200.0,50.0,6692.86145,56.0,6748.86145
19,2012-09-28,A,1338299.02,200.0,50.0,6691.4951,56.0,6747.4951
19,2012-10-05,A,1408016.1,200.0,50.0,7040.0805,56.0,7096.0805
19,2012-10-12,A,1352809.5,200.0,50.0,6764.0475,56.0,6820.0475
19,2012-10-19,A,1321102.35,200.0,50.0,6605.511750000001,56.0,6661.511750000001
19,2012-10-26,A,1322117.96,200.0,50.0,6610.5898,56.0,6666.5898
20,2012-09-07,A,2080529.06,200.0,50.0,10402.6453,56.0,10458.6453
20,2012-09-14,A,2047949.98,200.0,50.0,10239.7499,56.0,10295.7499
20,2012-09-21,A,2028587.24,200.0,50.0,10142.9362,56.0,10198.9362
20,2012-09-28,A,2008350.58,200.0,50.0,10041.7529,56.0,10097.7529
20,2012-10-05,A,2246411.89,200.0,50.0,11232.05945,56.0,11288.05945
20,2012-10-12,A,2162951.36,200.0,50.0,10814.7568,56.0,10870.7568
20,2012-10-19,A,1999363.49,200.0,50.0,9996.81745,56.0,10052.81745
20,2012-10-26,A,2031650.55,200.0,50.0,10158.25275,56.0,10214.25275
21,2012-09-07,B,642827.29,180.0,45.0,3571.2627222222222,56.0,3627.2627222222222
21,2012-09-14,B,628494.63,180.0,45.0,3491.6368333333335,56.0,3547.6368333333335
21,2012-09-21,B,667151.46,180.0,45.0,3706.397,56.0,3762.397
21,2012-09-28,B,647097.65,180.0,45.0,3594.9869444444444,56.0,3650.9869444444444
21,2012-10-05,B,651768.91,180.0,45.0,3620.938388888889,56.0,3676.938388888889
21,2012-10-12,B,653043.44,180.0,45.0,3628.0191111111108,56.0,3684.0191111111108
21,2012-10-19,B,641368.14,180.0,45.0,3563.1563333333334,56.0,3619.1563333333334
21,2012-10-26,B,675202.87,180.0,45.0,3751.1270555555557,56.0,3807.1270555555557
22,2012-09-07,B,996628.8,180.0,45.0,5536.826666666667,56.0,5592.826666666667
22,2012-09-14,B,918049.28,180.0,45.0,5100.273777777778,56.0,5156.273777777778
22,2012-09-21,B,921612.53,180.0,45.0,5120.069611111111,56.0,5176.069611111111
22,2012-09-28,B,976479.51,180.0,45.0,5424.886166666667,56.0,5480.886166666667
22,2012-10-05,B,1009887.36,180.0,45.0,5610.485333333333,56.0,5666.485333333333
22,2012-10-12,B,1004039.84,180.0,45.0,5577.999111111111,56.0,5633.999111111111
22,2012-10-19,B,978027.95,180.0,45.0,5433.488611111111,56.0,5489.488611111111
22,2012-10-26,B,1094422.69,180.0,45.0,6080.1260555555555,56.0,6136.1260555555555
23,2012-09-07,B,1427162.26,180.0,45.0,7928.679222222222,56.0,7984.679222222222
23,2012-09-14,B,1279041.64,180.0,45.0,7105.786888888888,56.0,7161.786888888888
23,2012-09-21,B,1338627.55,180.0,45.0,7436.8197222222225,56.0,7492.8197222222225
23,2012-09-28,B,1319035.06,180.0,45.0,7327.972555555556,56.0,7383.972555555556
23,2012-10-05,B,1464616.59,180.0,45.0,8136.758833333334,56.0,8192.758833333333
23,2012-10-12,B,1412925.25,180.0,45.0,7849.584722222222,56.0,7905.584722222222
23,2012-10-19,B,1363155.77,180.0,45.0,7573.087611111111,56.0,7629.087611111111
23,2012-10-26,B,1347454.59,180.0,45.0,7485.858833333334,56.0,7541.858833333334
24,2012-09-07,A,1477134.75,200.0,50.0,7385.67375,56.0,7441.67375
24,2012-09-14,A,1242909.53,200.0,50.0,6214.54765,56.0,6270.54765
24,2012-09-21,A,1261158.47,200.0,50.0,6305.79235,56.0,6361.79235
24,2012-09-28,A,1259278.36,200.0,50.0,6296.3918,56.0,6352.3918
24,2012-10-05,A,1416720.54,200.0,50.0,7083.6027,56.0,7139.6027
24,2012-10-12,A,1416301.17,200.0,50.0,7081.50585,56.0,7137.50585
24,2012-10-19,A,1255414.84,200.0,50.0,6277.0742,56.0,6333.0742
24,2012-10-26,A,1307182.29,200.0,50.0,6535.9114500000005,56.0,6591.9114500000005
25,2012-09-07,B,671482.9,180.0,45.0,3730.460555555556,56.0,3786.460555555556
25,2012-09-14,B,657241.63,180.0,45.0,3651.3423888888888,56.0,3707.3423888888888
25,2012-09-21,B,664745.2,180.0,45.0,3693.0288888888886,56.0,3749.0288888888886
25,2012-09-28,B,683300.84,180.0,45.0,3796.1157777777776,56.0,3852.1157777777776
25,2012-10-05,B,699536.73,180.0,45.0,3886.3151666666668,56.0,3942.3151666666668
25,2012-10-12,B,697317.41,180.0,45.0,3873.985611111111,56.0,3929.985611111111
25,2012-10-19,B,685531.85,180.0,45.0,3808.5102777777774,56.0,3864.5102777777774
25,2012-10-26,B,688940.9400000001,180.0,45.0,3827.449666666667,56.0,3883.449666666667
26,2012-09-07,A,1081874.03,200.0,50.0,5409.37015,56.0,5465.37015
26,2012-09-14,A,986131.94,200.0,50.0,4930.6597,56.0,4986.6597
26,2012-09-21,A,961084.08,200.0,50.0,4805.4204,56.0,4861.4204
26,2012-09-28,A,964726.37,200.0,50.0,4823.63185,56.0,4879.63185
26,2012-10-05,A,1095504.26,200.0,50.0,5477.5213,56.0,5533.5213
26,2012-10-12,A,1044639.69,200.0,50.0,5223.19845,56.0,5279.19845
26,2012-10-19,A,975578.02,200.0,50.0,4877.8901000000005,56.0,4933.8901000000005
26,2012-10-26,A,958619.8,200.0,50.0,4793.099,56.0,4849.099
27,2012-09-07,A,1840955.23,200.0,50.0,9204.77615,56.0,9260.77615
27,2012-09-14,A,1519604.5,200.0,50.0,7598.0225,56.0,7654.0225
27,2012-09-21,A,1557485.75,200.0,50.0,7787.42875,56.0,7843.42875
27,2012-09-28,A,1540687.63,200.0,50.0,7703.438149999999,56.0,7759.438149999999
27,2012-10-05,A,1591816.88,200.0,50.0,7959.0844,56.0,8015.0844
27,2012-10-12,A,1660081.29,200.0,50.0,8300.40645,56.0,8356.40645
27,2012-10-19,A,1620374.24,200.0,50.0,8101.8712,56.0,8157.8712
27,2012-10-26,A,1703047.74,200.0,50.0,8515.2387,56.0,8571.2387
28,2012-09-07,A,1469693.99,200.0,50.0,7348.46995,56.0,7404.46995
28,2012-09-14,A,1124660.77,200.0,50.0,5623.30385,56.0,5679.30385
28,2012-09-21,A,1135340.19,200.0,50.0,5676.7009499999995,56.0,5732.7009499999995
28,2012-09-28,A,1129508.61,200.0,50.0,5647.54305,56.0,5703.54305
28,2012-10-05,A,1462941.03,200.0,50.0,7314.70515,56.0,7370.70515
28,2012-10-12,A,1205536.71,200.0,50.0,6027.68355,56.0,6083.68355
28,2012-10-19,A,1143724.48,200.0,50.0,5718.6224,56.0,5774.6224
28,2012-10-26,A,1213860.61,200.0,50.0,6069.30305,56.0,6125.30305
29,2012-09-07,B,540811.85,180.0,45.0,3004.5102777777774,56.0,3060.5102777777774
29,2012-09-14,B,475127.18,180.0,45.0,2639.595444444444,56.0,2695.595444444444
29,2012-09-21,B,489079.23,180.0,45.0,2717.1068333333333,56.0,2773.1068333333333
29,2012-09-28,B,489674.23,180.0,45.0,2720.412388888889,56.0,2776.412388888889
29,2012-10-05,B,520632.8,180.0,45.0,2892.4044444444444,56.0,2948.4044444444444
29,2012-10-12,B,513737.0,180.0,45.0,2854.0944444444444,56.0,2910.0944444444444
29,2012-10-19,B,516909.24,180.0,45.0,2871.718,56.0,2927.718
29,2012-10-26,B,534970.68,180.0,45.0,2972.0593333333336,56.0,3028.0593333333336
30,2012-09-07,C,433565.77,150.0,40.0,2890.438466666667,56.0,2946.438466666667
30,2012-09-14,C,437773.31,150.0,40.0,2918.488733333333,56.0,2974.488733333333
30,2012-09-21,C,443891.64,150.0,40.0,2959.2776,56.0,3015.2776
30,2012-09-28,C,425410.04,150.0,40.0,2836.066933333333,56.0,2892.066933333333
30,2012-10-05,C,446751.45,150.0,40.0,2978.3430000000003,56.0,3034.3430000000003
30,2012-10-12,C,434593.26,150.0,40.0,2897.2884,56.0,2953.2884
30,2012-10-19,C,437537.29,150.0,40.0,2916.9152666666664,56.0,2972.9152666666664
30,2012-10-26,C,439424.5,150.0,40.0,2929.4966666666664,56.0,2985.4966666666664
31,2012-09-07,A,1358111.62,200.0,50.0,6790.5581,56.0,6846.5581
31,2012-09-14,A,1327705.44,200.0,50.0,6638.5271999999995,56.0,6694.5271999999995
31,2012-09-21,A,1373064.87,200.0,50.0,6865.324350000001,56.0,6921.324350000001
31,2012-09-28,A,1279080.58,200.0,50.0,6395.4029,56.0,6451.4029
31,2012-10-05,A,1363365.05,200.0,50.0,6816.82525,56.0,6872.82525
31,2012-10-12,A,1401113.42,200.0,50.0,7005.567099999999,56.0,7061.567099999999
31,2012-10-19,A,1378730.45,200.0,50.0,6893.65225,56.0,6949.65225
31,2012-10-26,A,1340232.55,200.0,50.0,6701.16275,56.0,6757.16275
32,2012-09-07,A,1126685.95,200.0,50.0,5633.429749999999,56.0,5689.429749999999
32,2012-09-14,A,1156377.47,200.0,50.0,5781.88735,56.0,5837.88735
32,2012-09-21,A,1159119.6,200.0,50.0,5795.598000000001,56.0,5851.598000000001
32,2012-09-28,A,1157111.15,200.0,50.0,5785.5557499999995,56.0,5841.5557499999995
32,2012-10-05,A,1202775.24,200.0,50.0,6013.8762,56.0,6069.8762
32,2012-10-12,A,1176681.31,200.0,50.0,5883.406550000001,56.0,5939.406550000001
32,2012-10-19,A,1199292.06,200.0,50.0,5996.460300000001,56.0,6052.460300000001
32,2012-10-26,A,1219979.29,200.0,50.0,6099.89645,56.0,6155.89645
33,2012-09-07,A,286428.78,200.0,50.0,1432.1439,56.0,1488.1439
33,2012-09-14,A,277417.53,200.0,50.0,1387.0876500000002,56.0,1443.0876500000002
33,2012-09-21,A,252709.58,200.0,50.0,1263.5479,56.0,1319.5479
33,2012-09-28,A,242813.51,200.0,50.0,1214.06755,56.0,1270.06755
33,2012-10-05,A,265444.9,200.0,50.0,1327.2245,56.0,1383.2245
33,2012-10-12,A,291781.15,200.0,50.0,1458.9057500000001,56.0,1514.9057500000001
33,2012-10-19,A,254412.34,200.0,50.0,1272.0617,56.0,1328.0617
33,2012-10-26,A,253731.13,200.0,50.0,1268.65565,56.0,1324.65565
34,2012-09-07,A,976415.56,200.0,50.0,4882.0778,56.0,4938.0778
34,2012-09-14,A,955211.7,200.0,50.0,4776.0585,56.0,4832.0585
34,2012-09-21,A,943047.78,200.0,50.0,4715.2389,56.0,4771.2389
34,2012-09-28,A,928629.31,200.0,50.0,4643.14655,56.0,4699.14655
34,2012-10-05,A,968896.68,200.0,50.0,4844.4834,56.0,4900.4834
34,2012-10-12,A,948613.39,200.0,50.0,4743.06695,56.0,4799.06695
34,2012-10-19,A,963516.28,200.0,50.0,4817.5814,56.0,4873.5814
34,2012-10-26,A,956987.81,200.0,50.0,4784.93905,56.0,4840.93905
35,2012-09-07,B,984833.35,180.0,45.0,5471.296388888889,56.0,5527.296388888889
35,2012-09-14,B,821568.64,180.0,45.0,4564.270222222222,56.0,4620.270222222222
35,2012-09-21,B,772302.94,180.0,45.0,4290.571888888889,56.0,4346.571888888889
35,2012-09-28,B,814099.86,180.0,45.0,4522.777,56.0,4578.777
35,2012-10-05,B,866064.4,180.0,45.0,4811.468888888889,56.0,4867.468888888889
35,2012-10-12,B,873643.14,180.0,45.0,4853.573,56.0,4909.573
35,2012-10-19,B,829284.67,180.0,45.0,4607.137055555556,56.0,4663.137055555556
35,2012-10-26,B,865137.6,180.0,45.0,4806.32,56.0,4862.32
36,2012-09-07,A,293728.57,200.0,50.0,1468.64285,56.0,1524.64285
36,2012-09-14,A,301893.63,200.0,50.0,1509.46815,56.0,1565.46815
36,2012-09-21,A,293804.45,200.0,50.0,1469.02225,56.0,1525.02225
36,2012-09-28,A,270677.98,200.0,50.0,1353.3899,56.0,1409.3899
36,2012-10-05,A,277137.86,200.0,50.0,1385.6893,56.0,1441.6893
36,2012-10-12,A,300236.85000000003,200.0,50.0,1501.1842500000002,56.0,1557.1842500000002
36,2012-10-19,A,287360.05,200.0,50.0,1436.80025,56.0,1492.80025
36,2012-10-26,A,272489.41,200.0,50.0,1362.4470499999998,56.0,1418.4470499999998
37,2012-09-07,C,526838.14,150.0,40.0,3512.254266666667,56.0,3568.254266666667
37,2012-09-14,C,514651.74,150.0,40.0,3431.0116,56.0,3487.0116
37,2012-09-21,C,521320.98,150.0,40.0,3475.4732,56.0,3531.4732
37,2012-09-28,C,527953.14,150.0,40.0,3519.6876,56.0,3575.6876
37,2012-10-05,C,546122.37,150.0,40.0,3640.8158,56.0,3696.8158
37,2012-10-12,C,521810.75,150.0,40.0,3478.7383333333332,56.0,3534.7383333333332
37,2012-10-19,C,551969.1,150.0,40.0,3679.794,56.0,3735.794
37,2012-10-26,C,534738.43,150.0,40.0,3564.9228666666672,56.0,3620.9228666666672
38,2012-09-07,C,490274.82,150.0,40.0,3268.4988,56.0,3324.4988
38,2012-09-14,C,430944.39,150.0,40.0,2872.9626000000003,56.0,2928.9626000000003
38,2012-09-21,C,409600.98,150.0,40.0,2730.6731999999997,56.0,2786.6731999999997
38,2012-09-28,C,398468.08,150.0,40.0,2656.4538666666667,56.0,2712.4538666666667
38,2012-10-05,C,458479.01,150.0,40.0,3056.5267333333336,56.0,3112.5267333333336
38,2012-10-12,C,437320.66,150.0,40.0,2915.4710666666665,56.0,2971.4710666666665
38,2012-10-19,C,428806.46,150.0,40.0,2858.7097333333336,56.0,2914.7097333333336
38,2012-10-26,C,417290.38,150.0,40.0,2781.9358666666667,56.0,2837.9358666666667
39,2012-09-07,A,1609811.75,200.0,50.0,8049.05875,56.0,8105.05875
39,2012-09-14,A,1447614.08,200.0,50.0,7238.0704000000005,56.0,7294.0704000000005
39,2012-09-21,A,1555672.51,200.0,50.0,7778.36255,56.0,7834.36255
39,2012-09-28,A,1495607.07,200.0,50.0,7478.03535,56.0,7534.03535
39,2012-10-05,A,1574408.67,200.0,50.0,7872.04335,56.0,7928.04335
39,2012-10-12,A,1494417.07,200.0,50.0,7472.08535,56.0,7528.08535
39,2012-10-19,A,1577486.33,200.0,50.0,7887.43165,56.0,7943.43165
39,2012-10-26,A,1569502.0,200.0,50.0,7847.51,56.0,7903.51
40,2012-09-07,A,1088248.4,200.0,50.0,5441.241999999999,56.0,5497.241999999999
40,2012-09-14,A,901709.82,200.0,50.0,4508.5491,56.0,4564.5491
40,2012-09-21,A,899768.4,200.0,50.0,4498.842000000001,56.0,4554.842000000001
40,2012-09-28,A,919595.44,200.0,50.0,4597.977199999999,56.0,4653.977199999999
40,2012-10-05,A,1069112.0,200.0,50.0,5345.56,56.0,5401.56
40,2012-10-12,A,982523.26,200.0,50.0,4912.6163,56.0,4968.6163
40,2012-10-19,A,918170.5,200.0,50.0,4590.8525,56.0,4646.8525
40,2012-10-26,A,921264.52,200.0,50.0,4606.3226,56.0,4662.3226
41,2012-09-07,A,1392143.82,200.0,50.0,6960.7191,56.0,7016.7191
41,2012-09-14,A,1306644.25,200.0,50.0,6533.22125,56.0,6589.22125
41,2012-09-21,A,1276609.36,200.0,50.0,6383.0468,56.0,6439.0468
