Date,Store,total_units,total_sales,hours_total,productivity_units,productivity_sales
2011-04-01,1,71,1495064.75,9.42,7.537154989384288,158711.75690021232
2011-04-08,1,71,1614259.35,9.42,7.537154989384288,171365.11146496815
2011-04-15,1,71,1559889.0,9.42,7.537154989384288,165593.31210191082
2011-04-22,1,72,1564819.81,9.44,7.627118644067797,165764.81038135596
2011-04-29,1,70,1455090.69,9.4,7.446808510638298,154796.8819148936
2011-05-06,1,71,1629391.28,9.42,7.537154989384288,172971.47346072187
2011-05-13,1,73,1604775.58,9.46,7.716701902748413,169638.01057082452
2011-05-20,1,72,1428218.27,9.44,7.627118644067797,151294.3082627119
2011-05-27,1,71,1466046.67,9.42,7.537154989384288,155631.28131634818
2011-06-03,1,70,1635078.41,9.4,7.446808510638298,173944.51170212764
2011-06-10,1,71,1588948.32,9.42,7.537154989384288,168678.16560509554
2011-06-17,1,72,1532114.86,9.44,7.627118644067797,162300.3029661017
2011-06-24,1,71,1438830.15,9.42,7.537154989384288,152742.05414012738
2011-07-01,1,69,1488538.09,9.38,7.356076759061833,158692.76012793178
2011-07-08,1,70,1534849.64,9.4,7.446808510638298,163281.87659574466
2011-07-15,1,70,1455119.97,9.4,7.446808510638298,154799.99680851062
2011-07-22,1,69,1396926.82,9.38,7.356076759061833,148926.10021321962
2011-07-29,1,69,1352219.79,9.38,7.356076759061833,144159.89232409382
2011-08-05,1,71,1624383.75,9.42,7.537154989384288,172439.88853503185
2011-08-12,1,71,1525147.09,9.42,7.537154989384288,161905.21125265394
2011-08-19,1,72,1530761.43,9.44,7.627118644067797,162156.93114406778
2011-08-26,1,74,1464693.46,9.48,7.80590717299578,154503.52953586497
2011-09-02,1,73,1550229.22,9.46,7.716701902748413,163872.0105708245
2011-09-09,1,72,1540471.24,9.44,7.627118644067797,163185.5127118644
2011-09-16,1,71,1514259.78,9.42,7.537154989384288,160749.44585987262
2011-09-23,1,72,1380020.27,9.44,7.627118644067797,146188.58792372883
2011-09-30,1,72,1394561.83,9.44,7.627118644067797,147729.00741525425
2011-10-07,1,72,1630989.95,9.44,7.627118644067797,172774.3591101695
2011-10-14,1,72,1493525.93,9.44,7.627118644067797,158212.49258474578
2011-10-21,1,72,1502562.78,9.44,7.627118644067797,159169.78601694916
2011-10-28,1,72,1445249.09,9.44,7.627118644067797,153098.42055084748
2011-11-04,1,72,1697229.58,9.44,7.627118644067797,179791.26906779662
2011-11-11,1,72,1594938.89,9.44,7.627118644067797,168955.3908898305
2011-11-18,1,72,1539483.7,9.44,7.627118644067797,163080.9004237288
2011-11-25,1,73,2033320.66,9.46,7.716701902748413,214938.7589852008
2011-12-02,1,73,1584083.95,9.46,7.716701902748413,167450.73467230442
2011-12-09,1,73,1799682.38,9.46,7.716701902748413,190241.266384778
2011-12-16,1,72,1881176.67,9.44,7.627118644067797,199277.18961864407
2011-12-23,1,74,2270188.99,9.48,7.80590717299578,239471.4124472574
2011-12-30,1,73,1497462.72,9.46,7.716701902748413,158294.15644820294
2012-01-06,1,72,1550369.92,9.44,7.627118644067797,164234.10169491527
2012-01-13,1,71,1459601.17,9.42,7.537154989384288,154947.04564755838
2012-01-20,1,73,1394393.84,9.46,7.716701902748413,147398.92600422833
2012-01-27,1,70,1319325.59,9.4,7.446808510638298,140353.78617021276
2012-02-03,1,72,1636339.65,9.44,7.627118644067797,173341.06461864407
2012-02-10,1,73,1802477.43,9.46,7.716701902748413,190536.7262156448
2012-02-17,1,73,1819870.0,9.46,7.716701902748413,192375.2642706131
2012-02-24,1,72,1539387.83,9.44,7.627118644067797,163070.74470338985
2012-03-02,1,72,1688420.76,9.44,7.627118644067797,178858.13135593222
2012-03-09,1,71,1675431.16,9.42,7.537154989384288,177858.93418259022
2012-03-16,1,72,1677472.78,9.44,7.627118644067797,177698.38771186443
2012-03-23,1,71,1511068.07,9.42,7.537154989384288,160410.62314225055
2012-03-30,1,71,1649604.63,9.42,7.537154989384288,175117.26433121017
2012-04-06,1,72,1899676.88,9.44,7.627118644067797,201236.95762711865
2012-04-13,1,71,1621031.7,9.42,7.537154989384288,172084.04458598726
2012-04-20,1,71,1521577.87,9.42,7.537154989384288,161526.31316348197
2012-04-27,1,71,1468928.37,9.42,7.537154989384288,155937.19426751594
2012-05-04,1,71,1684519.99,9.42,7.537154989384288,178823.7781316348
2012-05-11,1,71,1611096.05,9.42,7.537154989384288,171029.30467091297
2012-05-18,1,70,1595901.87,9.4,7.446808510638298,169776.79468085108
2012-05-25,1,71,1555444.55,9.42,7.537154989384288,165121.50212314224
2012-06-01,1,71,1624477.58,9.42,7.537154989384288,172449.84925690023
2012-06-08,1,72,1697230.96,9.44,7.627118644067797,179791.4152542373
2012-06-15,1,71,1630607.0,9.42,7.537154989384288,173100.53078556265
2012-06-22,1,71,1527845.81,9.42,7.537154989384288,162191.69957537155
2012-06-29,1,69,1540421.49,9.38,7.356076759061833,164224.039445629
2012-07-06,1,70,1769854.16,9.4,7.446808510638298,188282.35744680848
2012-07-13,1,71,1527014.04,9.42,7.537154989384288,162103.40127388536
2012-07-20,1,72,1497954.76,9.44,7.627118644067797,158681.64830508476
2012-07-27,1,72,1439123.71,9.44,7.627118644067797,152449.54555084746
2012-08-03,1,71,1631135.79,9.42,7.537154989384288,173156.66560509554
2012-08-10,1,72,1592409.97,9.44,7.627118644067797,168687.4968220339
2012-08-17,1,72,1597868.05,9.44,7.627118644067797,169265.6832627119
2012-08-24,1,71,1494122.38,9.42,7.537154989384288,158611.71762208067
2012-08-31,1,72,1582083.4,9.44,7.627118644067797,167593.58050847458
2012-09-07,1,73,1661767.33,9.46,7.716701902748413,175662.50845665962
2012-09-14,1,72,1517428.87,9.44,7.627118644067797,160744.5836864407
2012-09-21,1,71,1506126.06,9.42,7.537154989384288,159885.99363057327
2012-09-28,1,73,1437059.26,9.46,7.716701902748413,151909.01268498943
2012-10-05,1,72,1670785.97,9.44,7.627118644067797,176990.03919491527
2012-10-12,1,73,1573072.81,9.46,7.716701902748413,166286.766384778
2012-10-19,1,71,1508068.77,9.42,7.537154989384288,160092.22611464967
2012-10-26,1,72,1493659.74,9.44,7.627118644067797,158226.66737288138
2010-02-05,2,73,2136989.46,9.46,7.716701902748413,225897.40591966172
2010-02-12,2,72,2137809.5,9.44,7.627118644067797,226462.8707627119
2010-02-19,2,73,2124451.54,9.46,7.716701902748413,224572.04439746297
2010-02-26,2,73,1865097.27,9.46,7.716701902748413,197156.1596194503
2010-03-05,2,73,1991013.13,9.46,7.716701902748413,210466.50422832978
2010-03-12,2,72,1990483.78,9.44,7.627118644067797,210856.33262711865
2010-03-19,2,73,1946070.88,9.46,7.716701902748413,205715.73784355176
2010-03-26,2,73,1750197.81,9.46,7.716701902748413,185010.33932346723
2010-04-02,2,72,2066187.72,9.44,7.627118644067797,218875.81779661018
2010-04-09,2,72,1954689.21,9.44,7.627118644067797,207064.53495762713
2010-04-16,2,71,1874957.94,9.42,7.537154989384288,199040.12101910828
2010-04-23,2,71,1821990.93,9.42,7.537154989384288,193417.29617834394
2010-04-30,2,71,1802450.29,9.42,7.537154989384288,191342.91825902337
2010-05-07,2,73,2042581.71,9.46,7.716701902748413,215917.7283298097
2010-05-14,2,71,1880752.36,9.42,7.537154989384288,199655.23991507431
2010-05-21,2,71,1896937.1,9.42,7.537154989384288,201373.3651804671
2010-05-28,2,70,1957113.89,9.4,7.446808510638298,208203.60531914892
2010-06-04,2,70,2102539.93,9.4,7.446808510638298,223674.46063829787
2010-06-11,2,71,2025538.76,9.42,7.537154989384288,215025.34607218683
2010-06-18,2,70,2001636.96,9.4,7.446808510638298,212940.10212765957
2010-06-25,2,71,1939927.09,9.42,7.537154989384288,205937.0583864119
2010-07-02,2,71,2003940.64,9.42,7.537154989384288,212732.55201698514
2010-07-09,2,69,1880902.62,9.38,7.356076759061833,200522.66737739873
2010-07-16,2,69,1845879.79,9.38,7.356076759061833,196788.89019189763
2010-07-23,2,71,1781717.71,9.42,7.537154989384288,189142.00743099788
2010-07-30,2,72,1804246.16,9.44,7.627118644067797,191127.7711864407
2010-08-06,2,70,1991909.98,9.4,7.446808510638298,211905.3170212766
2010-08-13,2,71,1895601.05,9.42,7.537154989384288,201231.533970276
2010-08-20,2,70,1964335.23,9.4,7.446808510638298,208971.8329787234
2010-08-27,2,71,1863840.49,9.42,7.537154989384288,197859.9246284501
2010-09-03,2,71,1904608.09,9.42,7.537154989384288,202187.69532908706
2010-09-10,2,72,1839128.83,9.44,7.627118644067797,194822.96927966105
2010-09-17,2,71,1793903.6,9.42,7.537154989384288,190435.62632696392
2010-09-24,2,71,1724557.22,9.42,7.537154989384288,183074.01486199576
2010-10-01,2,71,1827440.43,9.42,7.537154989384288,193995.79936305733
2010-10-08,2,72,1849921.44,9.44,7.627118644067797,195966.25423728814
2010-10-15,2,71,1794355.49,9.42,7.537154989384288,190483.59766454351
2010-10-22,2,71,1737947.64,9.42,7.537154989384288,184495.50318471337
2010-10-29,2,72,1802755.11,9.44,7.627118644067797,190969.8209745763
2010-11-05,2,70,1939061.41,9.4,7.446808510638298,206283.12872340422
2010-11-12,2,71,1916812.74,9.42,7.537154989384288,203483.30573248406
2010-11-19,2,72,1956739.17,9.44,7.627118644067797,207281.69173728814
2010-11-26,2,72,2658725.29,9.44,7.627118644067797,281644.6281779661
2010-12-03,2,73,2015781.27,9.46,7.716701902748413,213084.70084566594
2010-12-10,2,71,2378726.55,9.42,7.537154989384288,252518.74203821653
2010-12-17,2,72,2609166.75,9.44,7.627118644067797,276394.78283898305
2010-12-24,2,73,3436007.68,9.46,7.716701902748413,363214.3424947146
2010-12-31,2,72,1750434.55,9.44,7.627118644067797,185427.38877118647
2011-01-07,2,72,1758050.79,9.44,7.627118644067797,186234.19385593222
2011-01-14,2,73,1744193.58,9.46,7.716701902748413,184375.64270613107
2011-01-21,2,72,1751384.9,9.44,7.627118644067797,185528.06144067796
2011-01-28,2,72,1695371.68,9.44,7.627118644067797,179594.45762711865
2011-02-04,2,72,1929346.23,9.44,7.627118644067797,204379.89724576272
2011-02-11,2,72,2168041.61,9.44,7.627118644067797,229665.4247881356
2011-02-18,2,73,2080884.82,9.46,7.716701902748413,219966.68287526426
2011-02-25,2,71,1833511.08,9.42,7.537154989384288,194640.24203821656
2011-03-04,2,73,1981607.78,9.46,7.716701902748413,209472.28118393233
2011-03-11,2,73,1879107.31,9.46,7.716701902748413,198637.13636363635
2011-03-18,2,72,1902557.66,9.44,7.627118644067797,201542.125
2011-03-25,2,72,1766162.05,9.44,7.627118644067797,187093.43750000003
2011-04-01,2,71,1800171.36,9.42,7.537154989384288,191100.99363057327
2011-04-08,2,72,1847552.61,9.44,7.627118644067797,195715.31885593222
2011-04-15,2,71,1856467.84,9.42,7.537154989384288,197077.26539278132
2011-04-22,2,71,1886339.6,9.42,7.537154989384288,200248.3651804671
2011-04-29,2,72,1745545.28,9.44,7.627118644067797,184909.45762711865
2011-05-06,2,73,1837743.6,9.46,7.716701902748413,194264.6511627907
2011-05-13,2,73,1838513.07,9.46,7.716701902748413,194345.9904862579
2011-05-20,2,70,1688281.86,9.4,7.446808510638298,179604.45319148936
2011-05-27,2,71,1797732.56,9.42,7.537154989384288,190842.09766454354
2011-06-03,2,73,1933756.21,9.46,7.716701902748413,204413.97568710358
2011-06-10,2,71,1929153.16,9.42,7.537154989384288,204793.32908704883
2011-06-17,2,72,1953771.99,9.44,7.627118644067797,206967.37182203392
2011-06-24,2,70,1790925.8,9.4,7.446808510638298,190524.02127659574
2011-07-01,2,70,1866243.0,9.4,7.446808510638298,198536.48936170212
2011-07-08,2,70,1853161.99,9.4,7.446808510638298,197144.8925531915
2011-07-15,2,70,1785187.29,9.4,7.446808510638298,189913.5414893617
2011-07-22,2,71,1743816.41,9.42,7.537154989384288,185118.51486199573
2011-07-29,2,70,1680693.06,9.4,7.446808510638298,178797.1340425532
2011-08-05,2,70,1876704.26,9.4,7.446808510638298,199649.3893617021
2011-08-12,2,71,1812768.26,9.42,7.537154989384288,192438.2441613588
2011-08-19,2,71,1844094.59,9.42,7.537154989384288,195763.75690021232
2011-08-26,2,72,1821139.91,9.44,7.627118644067797,192917.36334745763
2011-09-02,2,72,1809119.7,9.44,7.627118644067797,191644.03601694916
2011-09-09,2,72,1748000.65,9.44,7.627118644067797,185169.56038135593
2011-09-16,2,72,1691439.52,9.44,7.627118644067797,179177.9152542373
2011-09-23,2,72,1669299.78,9.44,7.627118644067797,176832.60381355934
2011-09-30,2,71,1650394.44,9.42,7.537154989384288,175201.10828025476
2011-10-07,2,71,1837553.43,9.42,7.537154989384288,195069.3662420382
2011-10-14,2,71,1743882.19,9.42,7.537154989384288,185125.49787685776
2011-10-21,2,71,1834680.25,9.42,7.537154989384288,194764.35774946923
2011-10-28,2,72,1769296.25,9.44,7.627118644067797,187425.45021186443
2011-11-04,2,71,1959707.9,9.42,7.537154989384288,208036.93205944798
2011-11-11,2,72,1920725.15,9.44,7.627118644067797,203466.64724576272
2011-11-18,2,73,1902762.5,9.46,7.716701902748413,201137.68498942917
2011-11-25,2,73,2614202.3,9.46,7.716701902748413,276342.73784355173
2011-12-02,2,71,1954952.0,9.42,7.537154989384288,207532.05944798302
2011-12-09,2,73,2290549.32,9.46,7.716701902748413,242129.94926004225
2011-12-16,2,73,2432736.52,9.46,7.716701902748413,257160.3086680761
2011-12-23,2,74,3224369.8,9.48,7.80590717299578,340123.3966244725
2011-12-30,2,73,1874226.52,9.46,7.716701902748413,198121.19661733613
2012-01-06,2,72,1799520.14,9.44,7.627118644067797,190627.13347457626
2012-01-13,2,71,1744725.48,9.42,7.537154989384288,185215.01910828025
2012-01-20,2,72,1711769.11,9.44,7.627118644067797,181331.47351694916
2012-01-27,2,72,1660906.14,9.44,7.627118644067797,175943.4470338983
2012-02-03,2,73,1935299.94,9.46,7.716701902748413,204577.16067653275
2012-02-10,2,73,2103322.68,9.46,7.716701902748413,222338.54968287525
2012-02-17,2,73,2196688.46,9.46,7.716701902748413,232208.08245243126
2012-02-24,2,71,1861802.7,9.42,7.537154989384288,197643.59872611464
2012-03-02,2,72,1952555.66,9.44,7.627118644067797,206838.52330508476
2012-03-09,2,71,1937628.26,9.42,7.537154989384288,205693.02123142252
2012-03-16,2,71,1976082.13,9.42,7.537154989384288,209775.17303609342
2012-03-23,2,71,1790439.16,9.42,7.537154989384288,190067.85138004247
2012-03-30,2,71,1857480.84,9.42,7.537154989384288,197184.8025477707
2012-04-06,2,73,2129035.91,9.46,7.716701902748413,225056.65010570825
2012-04-13,2,73,1935869.1,9.46,7.716701902748413,204637.32558139533
2012-04-20,2,72,1847344.45,9.44,7.627118644067797,195693.26800847458
2012-04-27,2,71,1764133.09,9.42,7.537154989384288,187275.27494692145
2012-05-04,2,71,1923957.09,9.42,7.537154989384288,204241.72929936307
2012-05-11,2,72,1917520.99,9.44,7.627118644067797,203127.22351694916
2012-05-18,2,71,2000940.67,9.42,7.537154989384288,212414.0838641189
2012-05-25,2,70,1912791.09,9.4,7.446808510638298,203488.41382978723
2012-06-01,2,71,1910092.37,9.42,7.537154989384288,202769.89065817412
2012-06-08,2,71,2010216.49,9.42,7.537154989384288,213398.7781316348
2012-06-15,2,70,1962924.3,9.4,7.446808510638298,208821.7340425532
2012-06-22,2,71,1887733.21,9.42,7.537154989384288,200396.3067940552
2012-06-29,2,71,1881046.12,9.42,7.537154989384288,199686.42462845013
2012-07-06,2,72,2041507.4,9.44,7.627118644067797,216261.37711864407
2012-07-13,2,70,1830075.13,9.4,7.446808510638298,194688.84361702125
2012-07-20,2,72,1819666.46,9.44,7.627118644067797,192761.27754237287
2012-07-27,2,73,1757923.88,9.46,7.716701902748413,185827.04862579278
2012-08-03,2,72,1946104.64,9.44,7.627118644067797,206155.15254237287
2012-08-10,2,72,1866719.96,9.44,7.627118644067797,197745.7584745763
2012-08-17,2,73,1928016.01,9.46,7.716701902748413,203807.18921775898
2012-08-24,2,71,1876788.15,9.42,7.537154989384288,199234.41082802546
2012-08-31,2,73,1947083.3,9.46,7.716701902748413,205822.75898520084
2012-09-07,2,71,1898777.07,9.42,7.537154989384288,201568.69108280254
2012-09-14,2,72,1814806.63,9.44,7.627118644067797,192246.46504237287
2012-09-21,2,71,1829415.67,9.42,7.537154989384288,194205.48513800424
2012-09-28,2,72,1746470.56,9.44,7.627118644067797,185007.4745762712
2012-10-05,2,72,1998321.04,9.44,7.627118644067797,211686.55084745763
2012-10-12,2,73,1900745.13,9.46,7.716701902748413,200924.432346723
2012-10-19,2,71,1847990.41,9.42,7.537154989384288,196177.32590233546
2012-10-26,2,71,1834458.35,9.42,7.537154989384288,194740.80148619958
2010-02-05,3,65,461622.22,9.3,6.989247311827956,49636.79784946236
2010-02-12,3,64,420728.96,9.28,6.8965517241379315,45337.17241379311
2010-02-19,3,65,421642.19,9.3,6.989247311827956,45337.869892473114
2010-02-26,3,63,407204.86,9.26,6.8034557235421165,43974.60691144708
2010-03-05,3,63,415202.04,9.26,6.8034557235421165,44838.23326133909
2010-03-12,3,64,384200.69,9.28,6.8965517241379315,41400.9364224138
2010-03-19,3,65,375328.59,9.3,6.989247311827956,40357.912903225806
2010-03-26,3,63,359949.27,9.26,6.8034557235421165,38871.41144708424
2010-04-02,3,64,423294.4,9.28,6.8965517241379315,45613.62068965518
2010-04-09,3,64,415870.28,9.28,6.8965517241379315,44813.607758620696
2010-04-16,3,65,354993.26,9.3,6.989247311827956,38171.31827956989
2010-04-23,3,64,339976.65,9.28,6.8965517241379315,36635.41487068966
2010-04-30,3,66,361248.39,9.32,7.081545064377682,38760.55686695279
2010-05-07,3,63,399323.86,9.26,6.8034557235421165,43123.52699784017
2010-05-14,3,64,384357.94,9.28,6.8965517241379315,41417.88146551725
2010-05-21,3,62,343763.17,9.24,6.7099567099567095,37203.806277056276
2010-05-28,3,62,350089.23,9.24,6.7099567099567095,37888.444805194806
2010-06-04,3,62,396968.8,9.24,6.7099567099567095,42961.99134199134
2010-06-11,3,63,355017.09,9.26,6.8034557235421165,38338.77861771059
2010-06-18,3,63,364076.85,9.26,6.8034557235421165,39317.154427645786
2010-06-25,3,62,357346.48,9.24,6.7099567099567095,38673.86147186147
2010-07-02,3,61,381151.72,9.22,6.616052060737527,41339.66594360086
2010-07-09,3,63,349214.18,9.26,6.8034557235421165,37712.11447084233
2010-07-16,3,61,352728.78,9.22,6.616052060737527,38256.91757049892
2010-07-23,3,63,352864.49,9.26,6.8034557235421165,38106.31641468682
2010-07-30,3,63,347955.05,9.26,6.8034557235421165,37576.139308855294
2010-08-06,3,63,402635.76,9.26,6.8034557235421165,43481.18358531318
2010-08-13,3,60,339597.38,9.2,6.521739130434783,36912.75869565218
2010-08-20,3,62,351728.21,9.24,6.7099567099567095,38065.8235930736
2010-08-27,3,63,362134.09,9.26,6.8034557235421165,39107.35313174946
2010-09-03,3,63,366473.97,9.26,6.8034557235421165,39576.02267818574
2010-09-10,3,63,352260.97,9.26,6.8034557235421165,38041.1414686825
2010-09-17,3,62,363064.64,9.24,6.7099567099567095,39292.70995670996
2010-09-24,3,65,355626.87,9.3,6.989247311827956,38239.448387096774
2010-10-01,3,62,358784.1,9.24,6.7099567099567095,38829.44805194805
2010-10-08,3,62,395107.35,9.24,6.7099567099567095,42760.53571428571
2010-10-15,3,63,345584.39,9.26,6.8034557235421165,37320.12850971922
2010-10-22,3,63,348895.98,9.26,6.8034557235421165,37677.75161987041
2010-10-29,3,64,348591.74,9.28,6.8965517241379315,37563.7650862069
2010-11-05,3,63,423175.56,9.26,6.8034557235421165,45699.30453563715
2010-11-12,3,64,386635.03,9.28,6.8965517241379315,41663.25754310346
2010-11-19,3,64,372545.32,9.28,6.8965517241379315,40144.96982758621
2010-11-26,3,63,565567.84,9.26,6.8034557235421165,61076.44060475162
2010-12-03,3,63,476420.77,9.26,6.8034557235421165,51449.3272138229
2010-12-10,3,64,467642.03,9.28,6.8965517241379315,50392.46012931035
2010-12-17,3,65,498159.39,9.3,6.989247311827956,53565.52580645161
2010-12-24,3,64,605990.41,9.28,6.8965517241379315,65300.69073275863
2010-12-31,3,62,382677.76,9.24,6.7099567099567095,41415.34199134199
2011-01-07,3,63,378241.34,9.26,6.8034557235421165,40846.7969762419
2011-01-14,3,62,381061.1,9.24,6.7099567099567095,41240.378787878784
2011-01-21,3,63,350876.7,9.26,6.8034557235421165,37891.65226781858
2011-01-28,3,63,364866.2400000001,9.26,6.8034557235421165,39402.40172786178
2011-02-04,3,63,438516.53,9.26,6.8034557235421165,47355.996760259186
2011-02-11,3,62,430526.21,9.24,6.7099567099567095,46593.745670995675
2011-02-18,3,63,432782.1,9.26,6.8034557235421165,46736.727861771054
2011-02-25,3,63,397211.19,9.26,6.8034557235421165,42895.37688984881
2011-03-04,3,63,437084.51,9.26,6.8034557235421165,47201.35097192225
2011-03-11,3,63,404753.3,9.26,6.8034557235421165,43709.8596112311
2011-03-18,3,63,392109.51,9.26,6.8034557235421165,42344.43952483802
2011-03-25,3,63,380683.67,9.26,6.8034557235421165,41110.547516198705
2011-04-01,3,63,374556.08,9.26,6.8034557235421165,40448.82073434126
2011-04-08,3,63,384075.31,9.26,6.8034557235421165,41476.81533477322
2011-04-15,3,61,366250.69,9.22,6.616052060737527,39723.502169197396
2011-04-22,3,63,391860.04,9.26,6.8034557235421165,42317.49892008639
2011-04-29,3,62,367405.4,9.24,6.7099567099567095,39762.48917748918
2011-05-06,3,64,413042.12,9.28,6.8965517241379315,44508.849137931036
2011-05-13,3,63,386312.68,9.26,6.8034557235421165,41718.43196544277
2011-05-20,3,64,364603.13,9.28,6.8965517241379315,39289.130387931036
2011-05-27,3,64,369350.6,9.28,6.8965517241379315,39800.71120689655
2011-06-03,3,63,394507.84,9.26,6.8034557235421165,42603.43844492441
2011-06-10,3,62,391638.75,9.24,6.7099567099567095,42385.146103896106
2011-06-17,3,61,403423.34,9.22,6.616052060737527,43755.24295010846
2011-06-24,3,62,385520.71,9.24,6.7099567099567095,41723.020562770565
2011-07-01,3,60,368962.72,9.2,6.521739130434783,40104.64347826087
2011-07-08,3,62,395146.24,9.24,6.7099567099567095,42764.74458874459
2011-07-15,3,63,373454.33,9.26,6.8034557235421165,40329.841252699785
2011-07-22,3,61,360617.37,9.22,6.616052060737527,39112.51301518438
2011-07-29,3,63,345381.29,9.26,6.8034557235421165,37298.19546436285
2011-08-05,3,61,409981.25,9.22,6.616052060737527,44466.51301518438
2011-08-12,3,62,380376.85,9.24,6.7099567099567095,41166.32575757575
2011-08-19,3,61,379716.91,9.22,6.616052060737527,41184.04663774403
2011-08-26,3,61,366367.55,9.22,6.616052060737527,39736.17678958785
2011-09-02,3,62,375988.69,9.24,6.7099567099567095,40691.416666666664
2011-09-09,3,61,377347.49,9.22,6.616052060737527,40927.059652928416
2011-09-16,3,63,375629.51,9.26,6.8034557235421165,40564.74190064795
2011-09-23,3,63,365248.94,9.26,6.8034557235421165,39443.730021598276
2011-09-30,3,62,368477.93,9.24,6.7099567099567095,39878.56385281385
2011-10-07,3,64,403342.4,9.28,6.8965517241379315,43463.62068965518
2011-10-14,3,64,368282.57,9.28,6.8965517241379315,39685.621767241384
2011-10-21,3,64,394976.36,9.28,6.8965517241379315,42562.10775862069
2011-10-28,3,66,389540.62,9.32,7.081545064377682,41796.20386266094
